Ma_lop,Ma_HP,Ten_HP,Khoi_luong,Buoi_so,Thu,Thoi_gian,BD,KT,Tuan,Phong,Can_TN,Loai_lop
713459,ET4230,Computer Networks,3(3-0-1-6),2,3,1230-1455,1230,1455,8|13,C9-201,NULL,TN
713460,ET4230,Computer Networks,3(3-0-1-6),1,3,1505-1730,1505,1730,5,Online,NULL,TN
713460,ET4230,Computer Networks,3(3-0-1-6),2,3,1505-1730,1505,1730,8|13,C9-201,NULL,TN
713461,ET4230,Computer Networks,3(3-0-1-6),1,4,1230-1455,1230,1455,5,Online,NULL,TN
713461,ET4230,Computer Networks,3(3-0-1-6),2,4,1230-1455,1230,1455,8|13,C9-201,NULL,TN
713462,ET4230,Computer Networks,3(3-0-1-6),1,4,1505-1730,1505,1730,5,Online,NULL,TN
713462,ET4230,Computer Networks,3(3-0-1-6),2,4,1505-1730,1505,1730,8|13,C9-201,NULL,TN
713463,ET4230,Computer Networks,3(3-0-1-6),1,5,1230-1455,1230,1455,5,Online,NULL,TN
713463,ET4230,Computer Networks,3(3-0-1-6),2,5,1230-1455,1230,1455,8|13,C9-201,NULL,TN
713464,ET4230,Computer Networks,3(3-0-1-6),1,5,1505-1730,1505,1730,5,Online,NULL,TN
713464,ET4230,Computer Networks,3(3-0-1-6),2,5,1505-1730,1505,1730,8|13,C9-201,NULL,TN
713465,ET4230,Computer Networks,3(3-0-1-6),1,6,1230-1455,1230,1455,5,Online,NULL,TN
713465,ET4230,Computer Networks,3(3-0-1-6),2,6,1230-1455,1230,1455,8|13,C9-201,NULL,TN
713466,ET4230,Computer Networks,3(3-0-1-6),1,6,1505-1730,1505,1730,5,Online,NULL,TN
713466,ET4230,Computer Networks,3(3-0-1-6),2,6,1505-1730,1505,1730,8|13,C9-201,NULL,TN
713467,ET4230,Computer Networks,3(3-0-1-6),1,2,1230-1455,1230,1455,6,Online,NULL,TN
